F	M	J	K	L	Cycles	Cost	Product
4	8	1	2	1	131341	6467	849382247
4	8	1	2	2	130962	6472	847586064
4	8	1	2	3	130938	6481	848609178
4	8	1	3	1	131339	6476	850551364
4	8	1	3	2	130960	6481	848751760
4	8	1	3	3	130936	6490	849774640
4	8	2	1	1	118276	6467	764890892
4	8	2	1	2	116711	6448	752552528
4	8	2	1	3	116662	6453	752819886
4	8	2	2	1	118154	6476	765165304
4	8	2	2	2	116540	6457	752498780
4	8	2	2	3	116493	6462	752777766
4	8	2	3	1	118139	6485	766131415
4	8	2	3	2	116526	6466	753457116
4	8	2	3	3	116479	6471	753735609
4	8	3	1	1	116177	6476	752362252
4	8	3	1	2	113810	6457	734871170
4	8	3	1	3	113746	6458	734571668
4	8	3	2	1	116057	6485	752629645
4	8	3	2	2	113690	6466	735119540
4	8	3	2	3	113627	6447	732553269
4	8	3	3	1	116042	6494	753576748
4	8	3	3	2	113675	6475	736045625
4	8	3	3	3	113613	6456	733485528
8	2	1	1	1	195724	7540	1475758960
8	2	1	1	2	184771	7363	1360468873
8	2	1	1	3	183016	7366	1348095856
8	2	1	2	1	193538	7543	1459857134
8	2	1	2	2	182651	7366	1345407266
8	2	1	2	3	180852	7369	1332698388
8	2	1	3	1	192984	7546	1456257264
8	2	1	3	2	182190	7369	1342558110
8	2	1	3	3	180390	7372	1329835080
8	2	2	1	1	151452	7463	1130286276
8	2	2	1	2	138123	7362	1016861526
8	2	2	1	3	135892	7362	1000436904
8	2	2	2	1	149218	7466	1114061588
8	2	2	2	2	136223	7365	1003282395
8	2	2	2	3	134313	7365	989215245
8	2	2	3	1	148763	7469	1111110847
8	2	2	3	2	136039	7368	1002335352
8	2	2	3	3	134141	7368	988350888
8	2	3	1	1	141734	7466	1058186044
8	2	3	1	2	126040	7364	928158560
8	2	3	1	3	123439	7361	908634479
8	2	3	2	1	139507	7469	1041977783
8	2	3	2	2	124775	7367	919217425
8	2	3	2	3	122149	7364	899505236
8	2	3	3	1	139309	7472	1040916848
8	2	3	3	2	124600	7370	918302000
8	2	3	3	3	121982	7367	898641394
8	4	1	1	1	141469	7362	1041494778
8	4	1	1	2	138437	7364	1019450068
8	4	1	1	3	138268	7369	1018896892
8	4	1	2	1	141119	7367	1039623673
8	4	1	2	2	138172	7369	1018189468
8	4	1	2	3	138011	7374	1017693114
8	4	1	3	1	141059	7372	1039886948
8	4	1	3	2	138118	7374	1018482132
8	4	1	3	3	137958	7379	1017992082
8	4	2	1	1	122491	7366	902268706
8	4	2	1	2	117394	7358	863785052
8	4	2	1	3	116856	7360	860060160
8	4	2	2	1	122249	7371	901097379
8	4	2	2	2	117117	7363	862332471
8	4	2	2	3	116569	7365	858530685
8	4	2	3	1	122191	7376	901280816
8	4	2	3	2	117063	7368	862520184
8	4	2	3	3	116515	7370	858715550
8	4	3	1	1	119154	7371	878284134
8	4	3	1	2	113028	7362	832112136
8	4	3	1	3	111930	7359	823692870
8	4	3	2	1	118916	7376	877124416
8	4	3	2	2	112771	7367	830783957
8	4	3	2	3	111619	7359	821404221
8	4	3	3	1	118860	7381	877305660
8	4	3	3	2	112714	7372	830927608
8	4	3	3	3	111561	7364	821535204
8	8	1	1	1	127345	7360	937259200
8	8	1	1	2	126930	7366	934966380
8	8	1	1	3	126912	7375	935976000
8	8	1	2	1	127221	7369	937491549
8	8	1	2	2	126805	7375	935186875
8	8	1	2	3	126785	7384	936180440
8	8	1	3	1	127219	7378	938621782
8	8	1	3	2	126803	7384	936313352
8	8	1	3	3	126783	7393	937306719
8	8	2	1	1	113432	7368	835766976
8	8	2	1	2	111506	7350	819569100
8	8	2	1	3	111428	7356	819664368
8	8	2	2	1	113308	7377	835873116
8	8	2	2	2	111370	7359	819571830
8	8	2	2	3	111290	7365	819650850
8	8	2	3	1	113293	7386	836782098
8	8	2	3	2	111356	7368	820471008
8	8	2	3	3	111275	7374	820541850
8	8	3	1	1	110730	7377	816855210
8	8	3	1	2	107512	7358	791073296
8	8	3	1	3	107290	7359	789547110
8	8	3	2	1	110611	7386	816972846
8	8	3	2	2	107377	7367	791046359
8	8	3	2	3	107158	7349	787504142
8	8	3	3	1	110594	7395	817842630
8	8	3	3	2	107360	7376	791887360
8	8	3	3	3	107139	7358	788328762
